FID_,FIPSSTCO,TRT2000,STFID,OID_,SCTRACTW,FIPSPLACEW,CENSUSPLW,SCTRACTR,FIPSPLACER,CENSUCPLR,TRACTTOTRA,STFID_1,ID_ID,Distance
,24003,731103,24003731103,773,51059460400,79952,1252,24003731103,99999,9999,10,24003731103,42232,0.009222
,24003,702402,24003702402,2229,51059480200,79952,1252,24003702402,60325,751,15,24003702402,42256,0.004019
,24003,701101,24003701101,2225,51059480200,79952,1252,24003701101,66400,832,4,24003701101,42267,0.01275
,24003,701102,24003701102,285,51059471200,79952,1252,24003701102,47925,592,25,24003701102,42284,0.006332
,24003,706500,24003706500,1442,51059460500,79952,1252,24003706500,1600,11,15,24003706500,42369,0.003204
,24003,706402,24003706402,1441,51059460500,79952,1252,24003706402,1600,11,10,24003706402,42401,0.011613
,24003,706101,24003706101,2233,51059480200,79952,1252,24003706101,1600,11,4,24003706101,42407,0.001298
,24003,701400,24003701400,1439,51059460500,79952,1252,24003701400,99999,9999,4,24003701400,42505,0.002635
,24003,702601,24003702601,1440,51059460500,79952,1252,24003702601,39300,502,10,24003702601,42534,0.036184
,24003,702602,24003702602,14,51059471200,48376,772,24003702602,99999,9999,10,24003702602,42541,0.066354
,24003,707002,24003707002,772,51059460400,79952,1252,24003707002,22050,250,10,24003707002,42670,0.041879
,24003,740700,24003740700,2249,51059480200,79952,1252,24003740700,58300,710,10,24003740700,42862,0.025967
,24003,731303,24003731303,2242,51059480200,79952,1252,24003731303,99999,9999,10,24003731303,42910,0.024266
,24003,702500,24003702500,2230,51059480200,79952,1252,24003702500,99999,9999,4,24003702500,42957,0.015004
,24003,731001,24003731001,289,51059471200,79952,1252,24003731001,12912,124,4,24003731001,43012,0.014559
,24003,740301,24003740301,290,51059471200,79952,1252,24003740301,71150,884,10,24003740301,43180,0.004908
,24003,740601,24003740601,2248,51059480200,79952,1252,24003740601,29400,349,4,24003740601,43192,0.011074
,24003,731311,24003731311,2035,51059480200,48376,772,24003731311,34975,437,10,24003731311,43252,0.007248
,24003,702700,24003702700,2232,51059480200,79952,1252,24003702700,60325,751,15,24003702700,43300,0.017458
,24003,730601,24003730601,1444,51059460500,79952,1252,24003730601,71200,885,10,24003730601,43315,0.011571
,24003,702202,24003702202,286,51059471200,79952,1252,24003702202,20875,243,4,24003702202,43358,0.014841
,24003,740103,24003740103,2243,51059480200,79952,1252,24003740103,71150,884,4,24003740103,43578,0.008487
,24003,740800,24003740800,2250,51059480200,79952,1252,24003740800,99999,9999,10,24003740800,43654,0.001734
,24003,701300,24003701300,771,51059460400,79952,1252,24003701300,99999,9999,10,24003701300,43700,0.027347
,24003,730504,24003730504,1443,51059460500,79952,1252,24003730504,73550,922,10,24003730504,43724,0.017101
,24005,402507,24005402507,291,51059471200,79952,1252,24005402507,59425,740,10,24005402507,43835,0.019365
,24005,410100,24005410100,292,51059471200,79952,1252,24005410100,99999,9999,10,24005410100,43979,0.026371
,24005,404202,24005404202,2257,51059480200,79952,1252,24005404202,59425,740,15,24005404202,44009,0.012683
,24005,403400,24005403400,775,51059460400,79952,1252,24005403400,61400,765,4,24005403400,44098,0.001157
,24005,403802,24005403802,776,51059460400,79952,1252,24005403802,61400,765,4,24005403802,44126,0.01007
,24005,403500,24005403500,1447,51059460500,79952,1252,24005403500,61400,765,4,24005403500,44129,0.010622
,24005,402403,24005402403,2254,51059480200,79952,1252,24005402403,47450,579,4,24005402403,44198,0.006063
,24005,408505,24005408505,2258,51059480200,79952,1252,24005408505,48900,597,4,24005408505,44305,0.006572
,24005,490301,24005490301,1450,51059460500,79952,1252,24005490301,78425,975,15,24005490301,44442,0.003143
,24005,491702,24005491702,1451,51059460500,79952,1252,24005491702,13325,129,4,24005491702,44561,0.008846
,24005,451500,24005451500,2259,51059480200,79952,1252,24005451500,52300,615,4,24005451500,45041,0.009771
,24005,451600,24005451600,2260,51059480200,79952,1252,24005451600,52300,615,4,24005451600,45044,0.004773
,24027,602700,24027602700,2318,51059480200,79952,1252,24027602700,26000,325,4,24027602700,45087,0.014546
,24005,420900,24005420900,293,51059471200,79952,1252,24005420900,23975,275,4,24005420900,45527,0.010559
,24005,452400,24005452400,2261,51059480200,79952,1252,24005452400,23975,275,4,24005452400,45582,0.000517
,24005,403702,24005403702,2256,51059480200,79952,1252,24005403702,31625,401,4,24005403702,45732,0.005753
,24005,490400,24005490400,2262,51059480200,79952,1252,24005490400,78425,975,4,24005490400,45919,0.008828
,24005,402603,24005402603,2255,51059480200,79952,1252,24005402603,64950,820,10,24005402603,46040,0.013455
,24005,403701,24005403701,1449,51059460500,79952,1252,24005403701,31625,401,10,24005403701,46098,0.001829
,24005,490800,24005490800,2263,51059480200,79952,1252,24005490800,78425,975,4,24005490800,46236,0.006939
,24005,400400,24005400400,2253,51059480200,79952,1252,24005400400,14125,140,15,24005400400,46256,0.003576
,24005,403602,24005403602,1448,51059460500,79952,1252,24005403602,61400,765,10,24005403602,46437,0.004506
,24009,861001,24009861001,2269,51059480200,79952,1252,24009861001,99999,9999,10,24009861001,46579,0.022717
,24009,861002,24009861002,2270,51059480200,79952,1252,24009861002,16062,167,10,24009861002,46603,0.026208
,24009,860102,24009860102,2265,51059480200,79952,1252,24009860102,99999,9999,4,24009860102,46643,0.006876
,24009,860300,24009860300,777,51059460400,79952,1252,24009860300,59375,739,4,24009860300,46669,0.029177
,24009,860402,24009860402,778,51059460400,79952,1252,24009860402,15925,160,4,24009860402,46770,0.022018
,24009,860600,24009860600,297,51059471200,79952,1252,24009860600,99999,9999,4,24009860600,46786,0.014268
,24009,860502,24009860502,779,51059460400,79952,1252,24009860502,99999,9999,10,24009860502,46843,0.033609
,24009,860501,24009860501,296,51059471200,79952,1252,24009860501,41037,506,4,24009860501,46878,0.003464
,24009,860401,24009860401,295,51059471200,79952,1252,24009860401,99999,9999,4,24009860401,46917,0.002065
,24009,860101,24009860101,294,51059471200,79952,1252,24009860101,24062,277,4,24009860101,46980,0.016766
,24009,860900,24009860900,1453,51059460500,79952,1252,24009860900,99999,9999,4,24009860900,46994,0.017547
,24009,860703,24009860703,15,51059471200,48376,772,24009860703,99999,9999,15,24009860703,47171,0.00389
,24013,511000,24013511000,16,51059471200,48376,772,24013511000,99999,9999,4,24013511000,48580,0.006251
,24013,514100,24013514100,2273,51059480200,79952,1252,24013514100,99999,9999,4,24013514100,48869,0.00363
,24013,513000,24013513000,2271,51059480200,79952,1252,24013513000,53875,645,10,24013513000,49390,0.01645
,24017,851002,24017851002,782,51059460400,79952,1252,24017851002,45750,550,10,24017851002,51687,0.00142
,24017,850802,24017850802,1458,51059460500,79952,1252,24017850802,99999,9999,4,24017850802,51711,0.017791
,24017,850705,24017850705,1238,51059460500,23984,423,24017850705,69350,858,10,24017850705,51723,0.016353
,24017,850905,24017850905,2286,51059480200,79952,1252,24017850905,69350,858,30,24017850905,51761,0.009998
,24017,851400,24017851400,1461,51059460500,79952,1252,24017851400,99999,9999,4,24017851400,51849,0.022749
,24017,850300,24017850300,18,51059471200,48376,772,24017850300,99999,9999,4,24017850300,51875,0.011797
,24017,850100,24017850100,780,51059460400,79952,1252,24017850100,10925,111,4,24017850100,51944,0.001333
,24017,850701,24017850701,1456,51059460500,79952,1252,24017850701,6615,54,4,24017850701,52151,0.002687
,24017,850901,24017850901,781,51059460400,79952,1252,24017850901,69350,858,10,24017850901,52156,0.008991
,24017,850202,24017850202,17,51059471200,48376,772,24017850202,63375,793,4,24017850202,52198,0.00741
,24017,850704,24017850704,2282,51059480200,79952,1252,24017850704,69350,858,25,24017850704,52218,0.021563
,24017,850702,24017850702,1457,51059460500,79952,1252,24017850702,81175,1005,15,24017850702,52241,0.003879
,24017,850100,24017850100,780,51059460400,79952,1252,24017850100,10925,111,4,24017850100,52272,0.006089
,24017,850400,24017850400,2277,51059480200,79952,1252,24017850400,99999,9999,4,24017850400,52353,0.011699
,24017,850500,24017850500,1455,51059460500,79952,1252,24017850500,99999,9999,10,24017850500,52505,0.020944
,24017,850902,24017850902,1459,51059460500,79952,1252,24017850902,69350,858,10,24017850902,52646,0.009497
,24017,851300,24017851300,1460,51059460500,79952,1252,24017851300,99999,9999,15,24017851300,52756,0.01187
,24021,752600,24021752600,302,51059471200,79952,1252,24021752600,9100,87,10,24021752600,53708,0.011335
,24021,751200,24021751200,300,51059471200,79952,1252,24021751200,30325,355,4,24021751200,53806,0.029582
,24021,750502,24021750502,2290,51059480200,79952,1252,24021750502,30325,355,4,24021750502,53852,0.006018
,24021,750501,24021750501,298,51059471200,79952,1252,24021750501,30325,355,10,24021750501,53856,0.006562
,24021,750600,24021750600,1462,51059460500,79952,1252,24021750600,30325,355,4,24021750600,53891,0.006441
,24021,751700,24021751700,20,51059471200,48376,772,24021751700,47043,575,4,24021751700,53977,0.00334
,24021,751900,24021751900,2297,51059480200,79952,1252,24021751900,47043,575,25,24021751900,54092,0.006207
,24021,751800,24021751800,785,51059460400,79952,1252,24021751800,99999,9999,4,24021751800,54106,0.039435
,24021,752500,24021752500,2301,51059480200,79952,1252,24021752500,99999,9999,20,24021752500,54263,0.001789
,24021,752300,24021752300,1465,51059460500,79952,1252,24021752300,99999,9999,10,24021752300,54375,0.019475
,24021,752800,24021752800,2305,51059480200,79952,1252,24021752800,54875,657,4,24021752800,54556,0.015239
,24021,751300,24021751300,2293,51059480200,79952,1252,24021751300,99999,9999,20,24021751300,54659,0.015677
,24021,752000,24021752000,786,51059460400,79952,1252,24021752000,35412,447,10,24021752000,54706,0.00273
,24021,753200,24021753200,1467,51059460500,79952,1252,24021753200,26200,330,4,24021753200,54754,0.0065
,24021,751500,24021751500,1463,51059460500,79952,1252,24021751500,86750,1060,4,24021751500,54804,0.000142
,24021,751600,24021751600,301,51059471200,79952,1252,24021751600,99999,9999,4,24021751600,54857,0.005433
,24021,751000,24021751000,2292,51059480200,79952,1252,24021751000,3800,23,30,24021751000,55358,0.005447
,24021,750200,24021750200,783,51059460400,79952,1252,24021750200,30325,355,4,24021750200,55487,0.001578
,24021,753000,24021753000,2306,51059480200,79952,1252,24021753000,77825,965,4,24021753000,55489,0.003636
,24021,753100,24021753100,788,51059460400,79952,1252,24021753100,99999,9999,4,24021753100,55574,0.005619
,24021,751700,24021751700,20,51059471200,48376,772,24021751700,47043,575,4,24021751700,55606,0.006741
,24021,752100,24021752100,1464,51059460500,79952,1252,24021752100,35412,447,10,24021752100,55611,0.006669
,24033,801309,24033801309,2560,51059480200,79952,1252,24033801309,29525,353,4,24033801309,73005,0.016003
,24025,303201,24025303201,2309,51059480200,79952,1252,24025303201,99999,9999,10,24025303201,85012,0.015663
,24027,604002,24027604002,23,51059471200,48376,772,24027604002,99999,9999,4,24027604002,85122,0.021707
,24027,603000,24027603000,1469,51059460500,79952,1252,24027603000,99999,9999,20,24027603000,85160,0.00242
,24027,602200,24027602200,1468,51059460500,79952,1252,24027602200,26000,325,4,24027602200,85210,0.007832
